direction,source,destination,from_port,to_port,protocol,source_selector,description,enabled
ingress,-,frontend,80,80,tcp,public,Public HTTP entry,true
ingress,-,frontend,443,443,tcp,public,Public HTTPS entry,true
ingress,frontend,datastore,5432,5432,tcp,,Frontend to datastore SQL,true
ingress,frontend,operations,8082,8082,tcp,,Frontend telemetry intake,true
ingress,datastore,operations,8082,8082,tcp,,Datastore telemetry intake,true
ingress,operations,frontend,22,22,tcp,,Operations SSH to frontend,true
ingress,-,operations,22,22,tcp,administration,Administration SSH entry,true
egress,frontend,datastore,443,443,tcp,,Outbound row must be filtered,true
ingress,-,frontend,8443,8443,tcp,public,Disabled preview endpoint,false
ingress,-,frontend,,,-1,public,All protocols from public segment,true
ingress,-,operations,53,53,udp,administration,Administration DNS probe,true
ingress,-,operations,10000,10100,tcp,administration,Administration diagnostic range,true
